exchange_pair,currency_pair
poloniex/kraken,EOS/USDT
poloniex/kraken,SAND/BTC
poloniex/binance,SNX/USDT
poloniex/binance,XRP/BTC
poloniex/binance,STORJ/USDT
poloniex/binance,DASH/USDT
poloniex/binance,SOL/USDT
poloniex/binance,BCH/USDT
poloniex/binance,ENS/USDT
poloniex/binance,MKR/USDT
poloniex/binance,POLS/USDT
poloniex/binance,INJ/USDT
poloniex/binance,WBTC/BTC
poloniex/binance,STG/USDT
poloniex/binance,MDT/BTC
poloniex/binance,GLM/BTC
poloniex/binance,PEOPLE/USDT
poloniex/binance,ERN/USDT
poloniex/binance,DAR/USDT
poloniex/binance,DOGE/USDT
poloniex/binance,SSV/USDT
poloniex/binance,BLUR/USDT
poloniex/binance,ETH/TUSD
poloniex/binance,SOL/BTC
poloniex/binance,TUSD/USDT
poloniex/binance,BTS/BTC
poloniex/binance,DEGO/USDT
poloniex/binance,DCR/BTC
poloniex/binance,BTC/USDC
poloniex/binance,OM/USDT
poloniex/binance,FIL/USDT
poloniex/binance,MATIC/BTC
poloniex/binance,NEAR/USDT
poloniex/binance,XEC/USDT
poloniex/binance,DASH/BTC
poloniex/binance,BTS/USDT
poloniex/binance,SNX/BTC
poloniex/binance,KNC/BTC
poloniex/binance,SUPER/USDT
poloniex/binance,ZEC/USDC
poloniex/binance,SRM/BTC
poloniex/binance,BONK/USDT
poloniex/binance,RIF/USDT
poloniex/binance,SXP/USDT
poloniex/binance,GNS/USDT
poloniex/binance,REP/USDT
poloniex/binance,FRONT/USDT
poloniex/binance,ZRX/USDT
poloniex/binance,UMA/USDT
poloniex/binance,XLM/BTC
poloniex/binance,ARB/USDT
poloniex/binance,SUSHI/USDT
poloniex/binance,CHR/USDT
poloniex/binance,MBOX/USDT
poloniex/binance,CVP/USDT
poloniex/binance,OSMO/USDT
poloniex/binance,AMP/BTC
poloniex/binance,RUNE/USDT
poloniex/binance,APE/USDT
poloniex/binance,ACM/USDT
poloniex/binance,BTT/USDT
poloniex/binance,ETH/USDC
poloniex/binance,LINK/USDT
poloniex/binance,ZRX/BTC
poloniex/binance,NEO/BTC
poloniex/binance,SAND/USDT
poloniex/binance,POLY/BTC
poloniex/binance,XLM/USDT
poloniex/binance,DYDX/USDT
poloniex/binance,ENJ/USDT
poloniex/binance,AGIX/USDT
poloniex/binance,EOS/ETH
poloniex/binance,SC/USDT
poloniex/binance,OMG/USDT
poloniex/binance,ETH/BTC
poloniex/binance,LOOM/USDT
poloniex/binance,PERP/USDT
poloniex/binance,CTSI/USDT
poloniex/binance,FET/USDT
poloniex/binance,ZEC/ETH
poloniex/binance,MLN/USDT
poloniex/binance,KSM/USDT
poloniex/binance,TRB/USDT
poloniex/binance,OGN/USDT
poloniex/binance,ETC/BTC
poloniex/binance,GMT/USDT
poloniex/binance,SNT/USDT
poloniex/binance,ARDR/BTC
poloniex/binance,SUN/USDT
poloniex/binance,CHR/BTC
poloniex/binance,BTC/TUSD
poloniex/binance,REEF/USDT
poloniex/binance,TRIBE/USDT
poloniex/binance,AVA/BTC
poloniex/binance,PSG/USDT
poloniex/binance,CAKE/USDT
poloniex/binance,ATOM/USDT
poloniex/binance,OP/USDT
poloniex/binance,AMP/USDT
poloniex/binance,ALT/USDT
poloniex/binance,BNT/USDT
poloniex/binance,TRU/USDT
poloniex/binance,TRX/USDT
poloniex/binance,LUNC/USDT
poloniex/binance,ALPINE/USDT
poloniex/binance,CHZ/USDT
